# freq amp phase
0 999999.996806 0
121.654501217 999999.996897 -0.38104323856
243.309002433 999999.99717 -0.762086477301
364.96350365 999999.997625 -1.1431297164
486.618004866 999999.998263 -1.52417295602
608.272506083 999999.999083 -1.90521619636
729.927007299 1000000.00008 -2.28625943759
851.581508516 1000000.00127 -2.66730267988
973.236009732 1000000.00263 -3.04834592341
1094.89051095 1000000.00418 -3.42938916836
1216.54501217 1000000.00591 -3.81043241492
1338.19951338 1000000.00783 -4.19147566324
1459.8540146 1000000.00992 -4.57251891352
1581.50851582 1000000.0122 -4.95356216594
1703.16301703 1000000.01466 -5.33460542066
1824.81751825 1000000.0173 -5.71564867786
1946.47201946 1000000.02012 -6.09669193773
2068.12652068 1000000.02313 -6.47773520044
2189.7810219 1000000.02631 -6.85877846617
2311.43552311 1000000.02968 -7.23982173509
2433.09002433 1000000.03324 -7.62086500739
2554.74452555 1000000.03697 -8.00190828324
2676.39902676 1000000.04089 -8.38295156281
2798.05352798 1000000.04499 -8.7639948463
2919.7080292 1000000.04927 -9.14503813386
3041.36253041 1000000.05373 -9.52608142569
3163.01703163 1000000.05837 -9.90712472196
3284.67153285 1000000.0632 -10.2881680228
3406.32603406 1000000.06821 -10.6692113285
3527.98053528 1000000.0734 -11.0502546392
3649.6350365 1000000.07877 -11.431297955
3771.28953771 1000000.08433 -11.8123412761
3892.94403893 1000000.09007 -12.1933846027
4014.59854015 1000000.09599 -12.574427935
4136.25304136 1000000.10209 -12.9554712732
4257.90754258 1000000.10837 -13.3365146174
4379.5620438 1000000.11484 -13.7175579678
4501.21654501 1000000.12149 -14.0986013246
4622.87104623 1000000.12832 -14.479644688
4744.52554745 1000000.13533 -14.8606880582
4866.18004866 1000000.14253 -15.2417314352
4987.83454988 1000000.1499 -15.6227748194
5109.48905109 1000000.15746 -16.0038182108
5231.14355231 1000000.16521 -16.3848616097
5352.79805353 1000000.17313 -16.7659050162
5474.45255474 1000000.18123 -17.1469484306
5596.10705596 1000000.18952 -17.5279918529
5717.76155718 1000000.19799 -17.9090352834
5839.41605839 1000000.20664 -18.2900787222
5961.07055961 1000000.21548 -18.6711221696
6082.72506083 1000000.2245 -19.0521656257
6204.37956204 1000000.23369 -19.4332090906
6326.03406326 1000000.24308 -19.8142525646
6447.68856448 1000000.25264 -20.1952960478
6569.34306569 1000000.26238 -20.5763395405
6690.99756691 1000000.27231 -20.9573830427
6812.65206813 1000000.28242 -21.3384265547
6934.30656934 1000000.29271 -21.7194700766
7055.96107056 1000000.30319 -22.1005136087
7177.61557178 1000000.31384 -22.4815571511
7299.27007299 1000000.32468 -22.8626007039
7420.92457421 1000000.3357 -23.2436442674
7542.57907543 1000000.3469 -23.6246878417
7664.23357664 1000000.35829 -24.005731427
7785.88807786 1000000.36985 -24.3867750235
7907.54257908 1000000.3816 -24.7678186314
8029.19708029 1000000.39353 -25.1488622508
8150.85158151 1000000.40565 -25.529905882
8272.50608273 1000000.41794 -25.910949525
8394.16058394 1000000.43042 -26.2919931801
8515.81508516 1000000.44308 -26.6730368474
8637.46958637 1000000.45592 -27.0540805272
8759.12408759 1000000.46894 -27.4351242196
8880.77858881 1000000.48215 -27.8161679248
9002.43309002 1000000.49554 -28.1972116429
9124.08759124 1000000.50911 -28.5782553742
9245.74209246 1000000.52286 -28.9592991188
9367.39659367 1000000.5368 -29.3403428769
9489.05109489 1000000.55091 -29.7213866486
9610.70559611 1000000.56521 -30.1024304342
9732.36009732 1000000.57969 -30.4834742339
9854.01459854 1000000.59436 -30.8645180477
9975.66909976 1000000.6092 -31.2455618759
10097.323601 1000000.62423 -31.6266057187
10218.9781022 1000000.63944 -32.0076495762
10340.6326034 1000000.65483 -32.3886934487
10462.2871046 1000000.6704 -32.7697373362
10583.9416058 1000000.68616 -33.150781239
10705.5961071 1000000.7021 -33.5318251572
10827.2506083 1000000.71822 -33.9128690911
10948.9051095 1000000.73452 -34.2939130407
11070.5596107 1000000.75101 -34.6749570064
11192.2141119 1000000.76767 -35.0560009882
11313.8686131 1000000.78452 -35.4370449863
11435.5231144 1000000.80155 -35.818089001
11557.1776156 1000000.81877 -36.1991330323
11678.8321168 1000000.83616 -36.5801770805
11800.486618 1000000.85374 -36.9612211458
11922.1411192 1000000.8715 -37.3422652283
12043.7956204 1000000.88944 -37.7233093281
12165.4501217 1000000.90757 -38.1043534456
12287.1046229 1000000.92587 -38.4853975808
12408.7591241 1000000.94436 -38.8664417339
12530.4136253 1000000.96303 -39.2474859052
12652.0681265 1000000.98188 -39.6285300947
12773.7226277 1000001.00092 -40.0095743027
12895.377129 1000001.02014 -40.3906185294
13017.0316302 1000001.03954 -40.7716627749
13138.6861314 1000001.05912 -41.1527070393
13260.3406326 1000001.07888 -41.533751323
13381.9951338 1000001.09883 -41.914795626
13503.649635 1000001.11895 -42.2958399485
13625.3041363 1000001.13926 -42.6768842908
13746.9586375 1000001.15976 -43.0579286529
13868.6131387 1000001.18043 -43.4389730351
13990.2676399 1000001.20129 -43.8200174375
14111.9221411 1000001.22233 -44.2010618604
14233.5766423 1000001.24355 -44.5821063038
14355.2311436 1000001.26495 -44.963150768
14476.8856448 1000001.28653 -45.3441952532
14598.540146 1000001.3083 -45.7252397595
14720.1946472 1000001.33025 -46.1062842871
14841.8491484 1000001.35238 -46.4873288362
14963.5036496 1000001.3747 -46.8683734069
15085.1581509 1000001.39719 -47.2494179995
15206.8126521 1000001.41987 -47.6304626141
15328.4671533 1000001.44273 -48.0115072509
15450.1216545 1000001.46577 -48.3925519101
15571.7761557 1000001.489 -48.7735965918
15693.4306569 1000001.5124 -49.1546412963
15815.0851582 1000001.53599 -49.5356860236
15936.7396594 1000001.55976 -49.9167307741
16058.3941606 1000001.58372 -50.2977755478
16180.0486618 1000001.60785 -50.6788203449
16301.703163 1000001.63217 -51.0598651657
16423.3576642 1000001.65667 -51.4409100102
16545.0121655 1000001.68135 -51.8219548787
16666.6666667 1000001.70621 -52.2029997714
16788.3211679 1000001.73126 -52.5840446884
16909.9756691 1000001.75649 -52.9650896298
17031.6301703 1000001.7819 -53.346134596
17153.2846715 1000001.80749 -53.727179587
17274.9391727 1000001.83327 -54.1082246031
17396.593674 1000001.85922 -54.4892696444
17518.2481752 1000001.88536 -54.870314711
17639.9026764 1000001.91168 -55.2513598033
17761.5571776 1000001.93819 -55.6324049212
17883.2116788 1000001.96487 -56.0134500651
18004.86618 1000001.99174 -56.3944952351
18126.5206813 1000002.01879 -56.7755404314
18248.1751825 1000002.04602 -57.1565856541
18369.8296837 1000002.07343 -57.5376309035
18491.4841849 1000002.10103 -57.9186761797
18613.1386861 1000002.12881 -58.2997214828
18734.7931873 1000002.15677 -58.6807668132
18856.4476886 1000002.18491 -59.0618121709
18978.1021898 1000002.21324 -59.4428575561
19099.756691 1000002.24174 -59.8239029689
19221.4111922 1000002.27043 -60.2049484097
19343.0656934 1000002.2993 -60.5859938785
19464.7201946 1000002.32836 -60.9670393756
19586.3746959 1000002.35759 -61.3480849011
19708.0291971 1000002.38701 -61.7291304551
19829.6836983 1000002.41661 -62.1101760379
19951.3381995 1000002.44639 -62.4912216497
20072.9927007 1000002.47636 -62.8722672906
20194.6472019 1000002.5065 -63.2533129607
20316.3017032 1000002.53683 -63.6343586604
20437.9562044 1000002.56734 -64.0154043897
20559.6107056 1000002.59803 -64.3964501488
20681.2652068 1000002.62891 -64.7774959379
20802.919708 1000002.65997 -65.1585417573
20924.5742092 1000002.6912 -65.5395876069
21046.2287105 1000002.72263 -65.9206334872
21167.8832117 1000002.75423 -66.3016793981
21289.5377129 1000002.78602 -66.6827253399
21411.1922141 1000002.81798 -67.0637713128
21532.8467153 1000002.85013 -67.444817317
21654.5012165 1000002.88247 -67.8258633526
21776.1557178 1000002.91498 -68.2069094198
21897.810219 1000002.94768 -68.5879555187
22019.4647202 1000002.98055 -68.9690016497
22141.1192214 1000003.01362 -69.3500478127
22262.7737226 1000003.04686 -69.7310940081
22384.4282238 1000003.08028 -70.112140236
22506.0827251 1000003.11389 -70.4931864965
22627.7372263 1000003.14768 -70.8742327899
22749.3917275 1000003.18165 -71.2552791163
22871.0462287 1000003.21581 -71.6363254759
22992.7007299 1000003.25014 -72.0173718689
23114.3552311 1000003.28466 -72.3984182955
23236.0097324 1000003.31936 -72.7794647558
23357.6642336 1000003.35424 -73.16051125
23479.3187348 1000003.38931 -73.5415577783
23600.973236 1000003.42455 -73.9226043409
23722.6277372 1000003.45998 -74.3036509379
23844.2822384 1000003.49559 -74.6846975695
23965.9367397 1000003.53139 -75.065744236
24087.5912409 1000003.56736 -75.4467909374
24209.2457421 1000003.60352 -75.8278376739
24330.9002433 1000003.63986 -76.2088844458
24452.5547445 1000003.67638 -76.5899312533
24574.2092457 1000003.71308 -76.9709780964
24695.863747 1000003.74997 -77.3520249753
24817.5182482 1000003.78704 -77.7330718904
24939.1727494 1000003.82429 -78.1141188416
25060.8272506 1000003.86172 -78.4951658292
25182.4817518 1000003.89934 -78.8762128534
25304.136253 1000003.93713 -79.2572599144
25425.7907543 1000003.97511 -79.6383070123
25547.4452555 1000004.01327 -80.0193541473
25669.0997567 1000004.05162 -80.4004013196
25790.7542579 1000004.09014 -80.7814485294
25912.4087591 1000004.12885 -81.1624957768
26034.0632603 1000004.16774 -81.543543062
26155.7177616 1000004.20681 -81.9245903852
26277.3722628 1000004.24606 -82.3056377466
26399.026764 1000004.2855 -82.6866851463
26520.6812652 1000004.32512 -83.0677325846
26642.3357664 1000004.36492 -83.4487800616
26763.9902676 1000004.4049 -83.8298275774
26885.6447689 1000004.44507 -84.2108751324
27007.2992701 1000004.48541 -84.5919227265
27128.9537713 1000004.52594 -84.9729703601
27250.6082725 1000004.56665 -85.3540180333
27372.2627737 1000004.60755 -85.7350657463
27493.9172749 1000004.64862 -86.1161134992
27615.5717762 1000004.68988 -86.4971612922
27737.2262774 1000004.73132 -86.8782091255
27858.8807786 1000004.77294 -87.2592569993
27980.5352798 1000004.81475 -87.6403049138
28102.189781 1000004.85673 -88.0213528691
28223.8442822 1000004.8989 -88.4024008655
28345.4987835 1000004.94125 -88.783448903
28467.1532847 1000004.98379 -89.1644969819
28588.8077859 1000005.0265 -89.5455451023
28710.4622871 1000005.0694 -89.9265932645
28832.1167883 1000005.11248 -90.3076414686
28953.7712895 1000005.15574 -90.6886897147
29075.4257908 1000005.19918 -91.0697380031
29197.080292 1000005.24281 -91.450786334
29318.7347932 1000005.28662 -91.8318347075
29440.3892944 1000005.33061 -92.2128831237
